fixtureId,sfen,movetimeMs,multipv,threads,hashMb,sampleCount,successCount,avgWallLatencyMs,p50WallLatencyMs,p95WallLatencyMs,avgElapsedMs,avgActualNodes,avgNps,avgEngineCpuDeltaMs,avgCompletedDepth,terminalCounts,incompleteCount,boundInfoCount,candidateSnapshots
initial-position,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,5000,2,1,256,3,3,5410.933,5414.5,5464.4,5000.667,3720254.3,743950.8,5020,29,"{""ok"":3}",0,0,"[{""label"":""initial-position:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""6i7h"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""5i6h"",""9c9d"",""9g9f"",""5a5b"",""3g3f"",""8e8f"",""8g8f"",""8b8f"",""2e2d"",""2c2d"",""2h2d"",""P*2c"",""2d2f"",""3c3d"",""P*8g"",""8f8b"",""7g7f"",""P*8f"",""8g8f"",""8b8f"",""P*2d"",""2c2d"",""2f2d""],""scoreCp"":43},{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""9g9f"",""3c3d"",""2e2d"",""2c2d"",""2h2d"",""5a5b"",""5i6h"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8d"",""2d2f"",""P*2c"",""7g7f"",""9c9d"",""3g3f"",""8d7d"",""8h2b+"",""3a2b"",""7h7g"",""2b3c""],""scoreCp"":42}]},{""label"":""initial-position:mt5000-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""6i7h"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""5i6h"",""9c9d"",""9g9f"",""5a5b"",""3g3f"",""8e8f"",""8g8f"",""8b8f"",""2e2d"",""2c2d"",""2h2d"",""P*2c"",""2d2f"",""3c3d"",""P*8g"",""8f8b"",""7g7f"",""P*8f"",""8g8f"",""8b8f"",""P*2d"",""2c2d"",""2f2d""],""scoreCp"":43},{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""9g9f"",""3c3d"",""2e2d"",""2c2d"",""2h2d"",""5a5b"",""5i6h"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8d"",""2d2f"",""P*2c"",""7g7f"",""9c9d"",""3g3f"",""8d7d"",""8h2b+"",""3a2b"",""7h7g"",""2b3c""],""scoreCp"":42}]},{""label"":""initial-position:mt5000-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""6i7h"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""5i6h"",""9c9d"",""9g9f"",""5a5b"",""3g3f"",""8e8f"",""8g8f"",""8b8f"",""2e2d"",""2c2d"",""2h2d"",""P*2c"",""2d2f"",""3c3d"",""P*8g"",""8f8b"",""7g7f"",""P*8f"",""8g8f"",""8b8f"",""P*2d"",""2c2d"",""2f2d""],""scoreCp"":43},{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""1c1d"",""9g9f"",""3c3d"",""2e2d"",""2c2d"",""2h2d"",""5a5b"",""5i6h"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8d"",""2d2f"",""P*2c"",""7g7f"",""9c9d"",""3g3f"",""8d7d"",""8h2b+"",""3a2b"",""7h7g"",""2b3c""],""scoreCp"":42}]}]"
quiet-no-mate,1n1g1ksn1/l1rsg2b1/p1pp1p+Bpl/1p2p4/8p/2P3P1P/PP1PPPSP1/3S4R/LNG1KG1NL b P 1,5000,2,1,256,3,3,5387.6,5386.6,5390.5,5001,3174818,634835.8,5003.3,24,"{""ok"":3}",0,0,"[{""label"":""quiet-no-mate:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""2c2b"",""3a2b"",""1f1e"",""B*3c"",""1e1d"",""3c9i+"",""1d1c+"",""2a1c"",""L*2d"",""L*1a"",""2d2b+"",""9i2b"",""S*8c"",""6b7a"",""1h1e"",""5a6b"",""1e3e"",""7c7d"",""1i1c+"",""1a1c"",""3e2e""],""scoreCp"":1522},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""B*7g"",""5d5e"",""1e1d"",""7c7d"",""1d1c+"",""2b1c"",""3g4f"",""7d7e"",""7f7e"",""7b7e"",""7g6f"",""7e7d"",""1h3h"",""P*1d"",""L*7h"",""P*7f"",""3f3e"",""8a7c""],""scoreCp"":1516}]},{""label"":""quiet-no-mate:mt5000-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""2c2b"",""3a2b"",""1f1e"",""B*3c"",""1e1d"",""3c9i+"",""1d1c+"",""2a1c"",""L*2d"",""L*1a"",""2d2b+"",""9i2b"",""B*2d"",""5b4b"",""S*8c"",""7b7a"",""8c8b+"",""7c7d"",""P*1d"",""1c2e"",""3g2f""],""scoreCp"":1528},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""B*7g"",""5d5e"",""1e1d"",""7c7d"",""1d1c+"",""2b1c"",""3g4f"",""7d7e"",""7f7e"",""7b7e"",""7g6f"",""7e7d"",""1h3h"",""P*1d"",""L*7h"",""P*7f"",""3f3e"",""8a7c""],""scoreCp"":1516}]},{""label"":""quiet-no-mate:mt5000-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""2c2b"",""3a2b"",""1f1e"",""B*3c"",""1e1d"",""3c9i+"",""1d1c+"",""2a1c"",""L*2d"",""L*1a"",""2d2b+"",""9i2b"",""B*2d"",""5b4b"",""S*8c"",""7b7a"",""8c8b+"",""7c7d"",""P*1d"",""1c2e"",""3g2f""],""scoreCp"":1528},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""B*7g"",""5d5e"",""1e1d"",""7c7d"",""1d1c+"",""2b1c"",""3g4f"",""7d7e"",""7f7e"",""7b7e"",""7g6f"",""7e7d"",""1h3h"",""P*1d"",""L*7h"",""P*7f"",""3f3e"",""8a7c""],""scoreCp"":1516}]}]"
sente-middlegame,1nrg3n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL b BP 1,5000,2,1,256,3,3,5588.133,5470.9,5910.2,5000.667,3101389.7,620195,5013.3,23,"{""ok"":3}",0,0,"[{""label"":""sente-middlegame:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""8d8e"",""1f1e"",""7c7d"",""B*8b"",""7a7b"",""8b9a+"",""6a7a"",""B*8c"",""8a7c"",""8c7b+"",""7a7b"",""9a9b"",""3b3c"",""5h5i"",""3c4d"",""R*3d"",""4d5e""],""scoreCp"":2106},{""move"":""B*8b"",""pvUsi"":[""B*8b"",""9f8e"",""8b7a+"",""6a7a"",""1f1e"",""6d6e"",""4h5i"",""8e7f"",""P*7g"",""7f8e"",""1e1d"",""6e6f"",""R*1b"",""3b4a"",""6g6f""],""scoreCp"":1190}]},{""label"":""sente-middlegame:mt5000-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""8d8e"",""1f1e"",""7c7d"",""B*8b"",""7a7b"",""8b9a+"",""6a7a"",""B*8c"",""8a7c"",""8c7b+"",""7a7b"",""9a9b"",""3b3c"",""5h5i"",""3c4d"",""R*3d"",""4d5e""],""scoreCp"":2106},{""move"":""B*8b"",""pvUsi"":[""B*8b"",""9f8e"",""8b7a+"",""6a7a"",""1f1e"",""6d6e"",""4h5i"",""8e7f"",""P*7g"",""7f8e"",""1e1d"",""6e6f"",""R*1b"",""3b4a"",""6g6f""],""scoreCp"":1190}]},{""label"":""sente-middlegame:mt5000-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""8d8e"",""1f1e"",""7c7d"",""B*8b"",""7a7b"",""8b9a+"",""6a7a"",""B*8c"",""8a7c"",""8c7b+"",""7a7b"",""9a9b"",""3b3c"",""5h5i"",""3c4d"",""R*3d"",""4d5e""],""scoreCp"":2106},{""move"":""B*8b"",""pvUsi"":[""B*8b"",""9f8e"",""8b7a+"",""6a7a"",""1f1e"",""6d6e"",""4h5i"",""8e7f"",""P*7g"",""7f8e"",""1e1d"",""6e6f"",""R*1b"",""3b4a"",""6g6f""],""scoreCp"":1190}]}]"
gote-middlegame,1nrgB2n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL w P 1,5000,2,1,256,3,3,5435,5462.2,5462.8,5000.667,3126166.7,625151.4,5010,21,"{""ok"":3}",0,0,"[{""label"":""gote-middlegame:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""8b9a+"",""1e1f"",""9a9b"",""1f1g+"",""2i1g"",""P*1f"",""P*8b"",""1f1g+"",""5h5i"",""B*6e"",""9b8a"",""N*7e"",""8g8f"",""1g2h"",""3h2h"",""6a8a"",""8b8a+"",""B*8g"",""R*1b"",""3b4a""],""scoreCp"":112},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""7d7e"",""7h6i"",""6d6e"",""1d1b+"",""7e7f"",""1b2a"",""6e6f"",""7i7h"",""B*4i"",""4h5i"",""6f6g+"",""7h6g"",""7f7g+"",""8i7g"",""8e6g+"",""6h6g"",""7a7g+"",""L*3d"",""3b2a""],""scoreCp"":173}]},{""label"":""gote-middlegame:mt5000-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""8b9a+"",""1e1f"",""9a9b"",""1f1g+"",""2i1g"",""P*1f"",""P*8b"",""1f1g+"",""5h5i"",""B*6e"",""9b8a"",""N*7e"",""8g8f"",""1g2h"",""3h2h"",""6a8a"",""8b8a+"",""B*8g"",""R*1b"",""3b4a""],""scoreCp"":112},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""7d7e"",""7h6i"",""6d6e"",""1d1b+"",""7e7f"",""1b2a"",""6e6f"",""7i7h"",""B*4i"",""4h5i"",""6f6g+"",""7h6g"",""7f7g+"",""8i7g"",""8e6g+"",""6h6g"",""7a7g+"",""L*3d"",""3b2a""],""scoreCp"":173}]},{""label"":""gote-middlegame:mt5000-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""8b9a+"",""1e1f"",""9a9b"",""1f1g+"",""2i1g"",""P*1f"",""P*8b"",""1f1g+"",""5h5i"",""B*6e"",""9b8a"",""N*7e"",""8g8f"",""1g2h"",""3h2h"",""6a8a"",""8b8a+"",""B*8g"",""R*1b"",""3b4a""],""scoreCp"":112},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""7d7e"",""7h6i"",""6d6e"",""1d1b+"",""7e7f"",""1b2a"",""6e6f"",""7i7h"",""B*4i"",""4h5i"",""6f6g+"",""7h6g"",""7f7g+"",""8i7g"",""8e6g+"",""6h6g"",""7a7g+"",""L*3d"",""3b2a""],""scoreCp"":173}]}]"
middlegame-60,1nr1g1kn1/l2sb4/p1p1gpppl/1p2p4/3p2P2/1PP2+B1sp/P1KPPP2P/L1G1RSG2/1N2S2NL b p 1,5000,2,1,256,3,3,5477.767,5482.3,5497.7,5001,3309924.7,661852.6,5010,24,"{""ok"":3}",0,0,"[{""label"":""middlegame-60:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""4c4d"",""4f3f"",""7c7d"",""3f2f"",""8d8e"",""5g5f"",""8e8f"",""1f1e"",""7d7e"",""7g6h"",""7e7f"",""6h5g"",""5a4b"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""1d1c+"",""2a1c"",""P*1d"",""1c2e""],""scoreCp"":773},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f3g+"",""4h3g"",""5a4b"",""1g1f"",""4c4d"",""5h2h"",""4b3b"",""5g5f"",""8d8e"",""8f8e"",""G*4e"",""4f5g"",""5d5e"",""1f1e"",""5e5f"",""5g8d"",""4e5e"",""3g4f"",""5e4f"",""4g4f"",""P*1f"",""5i5h"",""1c1e"",""S*1b"",""3b2b""],""scoreCp"":743}]},{""label"":""middlegame-60:mt5000-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""4c4d"",""4f3f"",""7c7d"",""3f2f"",""8d8e"",""5g5f"",""8e8f"",""1f1e"",""7d7e"",""7g6h"",""7e7f"",""6h5g"",""5a4b"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""1d1c+"",""2a1c"",""P*1d"",""1c2e""],""scoreCp"":773},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f3g+"",""4h3g"",""5a4b"",""1g1f"",""4c4d"",""5h2h"",""4b3b"",""5g5f"",""8d8e"",""8f8e"",""G*4e"",""4f5g"",""5d5e"",""1f1e"",""5e5f"",""5g8d"",""4e5e"",""3g4f"",""5e4f"",""4g4f"",""P*1f"",""5i5h"",""1c1e"",""S*1b"",""3b2b""],""scoreCp"":743}]},{""label"":""middlegame-60:mt5000-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""4c4d"",""4f3f"",""7c7d"",""3f2f"",""8d8e"",""5g5f"",""8e8f"",""1f1e"",""7d7e"",""7g6h"",""7e7f"",""6h5g"",""5a4b"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""1d1c+"",""2a1c"",""P*1d"",""1c2e""],""scoreCp"":773},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f3g+"",""4h3g"",""5a4b"",""1g1f"",""4c4d"",""5h2h"",""4b3b"",""5g5f"",""8d8e"",""8f8e"",""G*4e"",""4f5g"",""5d5e"",""1f1e"",""5e5f"",""5g8d"",""4e5e"",""3g4f"",""5e4f"",""4g4f"",""P*1f"",""5i5h"",""1c1e"",""S*1b"",""3b2b""],""scoreCp"":743}]}]"
middlegame-80,1nsg3nk/l1r6/p1p1gppp1/1p1+B5/1b1pp1P1l/1PP1PP2p/P2P3GN/LKG1R1S1L/1NS1S4 b 2p 1,5000,2,1,256,2,1,4054.8,2655.3,5454.3,5001,3042474,608373.1,5000,20,"{""ok"":1}",0,0,"[{""label"":""middlegame-80:mt5000-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""6d5c"",""pvUsi"":[""6d5c"",""8e7f"",""1g2e"",""6e6f"",""6g6f"",""1a2b"",""3e3d"",""3c3d"",""5c7e"",""7f9d"",""2g2f"",""7c7d"",""7e6e"",""2b3b"",""2f1e"",""7b6b"",""6e8g"",""6b6f"",""P*2d"",""3b4a""],""scoreCp"":2225},{""move"":""6d7e"",""pvUsi"":[""6d7e"",""1f1g+"",""8f8e"",""6a5b"",""2g1g"",""7c7d"",""7e6e"",""1a2b"",""P*2d"",""1e1g"",""1h1g"",""8a7c"",""6e6f"",""2c2d"",""5f5e"",""P*5g"",""5h5g"",""2b3b"",""5e5d""],""scoreCp"":1858}]}]"
