fixtureId,sfen,movetimeMs,multipv,threads,hashMb,sampleCount,successCount,avgWallLatencyMs,p50WallLatencyMs,p95WallLatencyMs,avgElapsedMs,avgActualNodes,avgNps,avgEngineCpuDeltaMs,avgCompletedDepth,terminalCounts,incompleteCount,boundInfoCount,candidateSnapshots
initial-position,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,100,2,1,256,3,3,649.4,655,811.7,100.333,74457.3,742497.9,163.3,5.67,"{""incomplete"":2,""ok"":1}",2,0,"[{""label"":""initial-position:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""initial-position:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""initial-position:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""2g2f"",""pvUsi"":[""2g2f"",""4a3b"",""7g7f"",""8c8d"",""2f2e"",""8d8e"",""8h7g"",""3c3d"",""6g6f"",""2b3c"",""7i6h"",""3a2b"",""6i7h"",""5a4a"",""5g5f"",""6a5b"",""4i5h"",""7a6b"",""3g3f""],""scoreCp"":44},{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""1g1f"",""5a4b"",""7g7f"",""3c3d"",""2e2d"",""2c2d"",""2h2d"",""8e8f""],""scoreCp"":37}]}]"
quiet-no-mate,1n1g1ksn1/l1rsg2b1/p1pp1p+Bpl/1p2p4/8p/2P3P1P/PP1PPPSP1/3S4R/LNG1KG1NL b P 1,100,2,1,256,3,3,594.1,591.4,715.3,101.667,56559.3,556038.9,146.7,15,"{""ok"":3}",0,0,"[{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]},{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]},{""label"":""quiet-no-mate:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a4b"",""2c2b"",""3a2b"",""1f1e"",""4b5c"",""1e1d"",""5c6d"",""1d1c+"",""2b1c"",""L*6f"",""6d7d""],""scoreCp"":1496},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""8i7g"",""7c7d"",""1e1d"",""1c1d"",""1h1d"",""7d7e"",""1d1b+"",""7e7f"",""1b2a"",""P*3a"",""B*3b"",""4a5a""],""scoreCp"":1431}]}]"
sente-middlegame,1nrg3n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL b BP 1,100,2,1,256,3,3,1004.267,807.6,1720,100.333,60786.3,605902.2,150,0,"{""incomplete"":3}",3,0,"[{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""sente-middlegame:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
gote-middlegame,1nrgB2n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL w P 1,100,2,1,256,3,3,483,484.6,492.6,100.667,60555.7,601276,146.7,0,"{""incomplete"":3}",3,0,"[{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""gote-middlegame:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
middlegame-60,1nr1g1kn1/l2sb4/p1p1gpppl/1p2p4/3p2P2/1PP2+B1sp/P1KPPP2P/L1G1RSG2/1N2S2NL b p 1,100,2,1,256,3,3,647.467,489.2,984.3,101.667,56469.3,555749.4,143.3,14,"{""ok"":3}",0,0,"[{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""1f1e"",""P*1g"",""1i1g"",""1c1e"",""1g1e"",""2f1e"",""3h2g"",""1e2d"",""6d2h"",""2d3e"",""P*1d""],""scoreCp"":820},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738}]},{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""1f1e"",""P*1g"",""1i1g"",""1c1e"",""1g1e"",""2f1e"",""3h2g"",""1e2d"",""6d2h"",""2d3e"",""P*1d""],""scoreCp"":820},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738}]},{""label"":""middlegame-60:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a2b"",""1f1e"",""P*1g"",""1i1g"",""1c1e"",""1g1e"",""2f1e"",""3h2g"",""1e2d"",""6d2h"",""2d3e"",""P*1d""],""scoreCp"":820},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""2i1g"",""1f1g+"",""3e3d"",""3c3d"",""5g5f"",""5b6c"",""5f5e"",""5d5e"",""S*1b"",""5c4d""],""scoreCp"":738}]}]"
middlegame-80,1nsg3nk/l1r6/p1p1gppp1/1p1+B5/1b1pp1P1l/1PP1PP2p/P2P3GN/LKG1R1S1L/1NS1S4 b 2p 1,100,2,1,256,3,3,479.567,480,484.6,100.667,58608,582210.6,143.3,0,"{""incomplete"":3}",3,0,"[{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm2"",""candidates"":[]},{""label"":""middlegame-80:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
hand-piece-rich,1n2g4/l1s3k1r/p1+B1gp1pn/Bp7/1PPp5/5P2l/PG1P+pS2N/LK2R3L/1NS1S4 b 2Pg5p 1,100,2,1,256,3,3,734.2,491.1,1223,101,51227.3,507201.3,150,5,"{""incomplete"":2,""ok"":1}",2,0,"[{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm1"",""candidates"":[]},{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""9c9d"",""5h5g"",""B*4d"",""8h7h"",""P*5f"",""4g5f"",""3b2a""],""scoreCp"":1863},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*3c"",""8h7h"",""6e6f"",""6g6f"",""5a4b"",""7b7c"",""3c6f"",""P*3c"",""3b2b"",""5g6g"",""6f9i+"",""N*3d"",""2b3c"",""3d4b+"",""3c4b""],""scoreCp"":1545}]},{""label"":""hand-piece-rich:mt100-mpv2-t1-h256:warm3"",""candidates"":[]}]"
middlegame-120,1n2g4/+B1s1k3r/p+P2gp1pn/B8/2Pp2p2/1p2LP2l/PG1P+pS2N/LKR4PL/1NS1S1+p1g b 2P2p 1,100,2,1,256,3,3,587.933,586.4,600.5,101.667,48250.3,474643.2,146.7,15,"{""ok"":3}",0,0,"[{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""3c3d"",""8c7b"",""1i1h"",""9b8a"",""1f1g+"",""N*2f"",""3d2d""],""scoreCp"":1691},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]},{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""3c3d"",""8c7b"",""1i1h"",""9b8a"",""1f1g+"",""N*2f"",""3d2d""],""scoreCp"":1691},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]},{""label"":""middlegame-120:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""3c3d"",""8c7b"",""1i1h"",""9b8a"",""1f1g+"",""N*2f"",""3d2d""],""scoreCp"":1691},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""P*5d"",""5c6c"",""8c7b"",""5g5f"",""4g5f""],""scoreCp"":1602}]}]"
middlegame-150,1+Bp6/4+Bgr1p/1P2L1kpn/p4p2n/2Pp2p2/1pG2P3/P2P1S2+l/LKRS+p2PL/1NS1S1+p1g b GN2p 1,100,2,1,256,3,3,616.3,484.5,883.6,100.667,54411.7,540483.4,153.3,13,"{""ok"":3}",0,0,"[{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b""],""scoreCp"":2885},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""4b5b"",""G*3d"",""3c2b"",""2f1d"",""2b1a"",""5c5b+"",""5h6h"",""7f8f"",""6h7h"",""8h7h"",""3b5b""],""scoreCp"":1646}]},{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b""],""scoreCp"":2885},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""4b5b"",""G*3d"",""3c2b"",""2f1d"",""2b1a"",""5c5b+"",""5h6h"",""7f8f"",""6h7h"",""8h7h"",""3b5b""],""scoreCp"":1646}]},{""label"":""middlegame-150:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""G*3d"",""pvUsi"":[""G*3d"",""3c2b"",""8a5d"",""1c2e"",""5d4d"",""2b1c"",""4d3e"",""1c2b""],""scoreCp"":2885},{""move"":""N*2f"",""pvUsi"":[""N*2f"",""4b5b"",""G*3d"",""3c2b"",""2f1d"",""2b1a"",""5c5b+"",""5h6h"",""7f8f"",""6h7h"",""8h7h"",""3b5b""],""scoreCp"":1646}]}]"
mate-in-one,2p2+B2k/1+B3g2p/1P2L1Gpn/p1P2p3/3p2p2/lpG1NP3/P1KP+p3+l/LS1S2SP+n/1NR1S1+pg1 b RPp 1,100,2,1,256,3,3,482.167,479,493.3,100,97349.7,973496.7,143.3,33.33,"{""mate"":3}",0,0,"[{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm1"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]},{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm2"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]},{""label"":""mate-in-one:mt100-mpv2-t1-h256:warm3"",""candidates"":[{""move"":""R*3a"",""pvUsi"":[""R*3a""],""scoreMate"":1},{""move"":""4a4b"",""pvUsi"":[""4a4b"",""5g6g"",""6h6g"",""8f8g+"",""8h8g"",""3i3h"",""G*2b""],""scoreMate"":7}]}]"
