fixtureId,sfen,movetimeMs,multipv,threads,hashMb,sampleCount,successCount,avgWallLatencyMs,p50WallLatencyMs,p95WallLatencyMs,avgElapsedMs,avgActualNodes,avgNps,avgEngineCpuDeltaMs,avgCompletedDepth,terminalCounts,incompleteCount,boundInfoCount,candidateSnapshots
initial-position,lnsgkgsnl/1r5b1/ppppppppp/9/9/9/PPPPPPPPP/1B5R1/LNSGKGSNL b - 1,5000,2,2,256,3,3,5485.6,5499.8,5530.8,5001.333,3518598.3,703533.9,4990,26.67,"{""ok"":3}",0,0,"[{""label"":""initial-position:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""5i5h"",""7a7b"",""3i3h"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8d"",""3g3f"",""5a6b"",""9g9f"",""9c9d"",""2i3g"",""1c1d"",""7g7f"",""8d7d"",""7h7g""],""scoreCp"":63},{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""6i7h"",""4a3b"",""2f2e"",""8d8e"",""9g9f"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8d"",""3i3h"",""7a7b"",""7g7f"",""9c9d"",""5i6h"",""8d7d"",""7h7g"",""3c3d"",""4g4f"",""7d8d"",""3g3f"",""2b3c"",""2i3g""],""scoreCp"":48}]},{""label"":""initial-position:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""7g7f"",""pvUsi"":[""7g7f"",""8c8d"",""7i6h"",""3c3d"",""6h7g"",""3a4b"",""4i5h"",""8d8e"",""6i7h"",""7a6b"",""3i4h"",""4b3c"",""8h7i"",""7c7d"",""2g2f"",""2b3a"",""2f2e"",""5c5d"",""5g5f"",""4a3b"",""3g3f"",""4c4d"",""4h3g"",""6a5b"",""6g6f"",""5a4a"",""5i6i""],""scoreCp"":47},{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""2f2e"",""4a3b"",""6i7h"",""8d8e"",""1g1f"",""7a7b"",""9g9f"",""5a5b"",""3i3h"",""3c3d"",""2e2d"",""2c2d"",""2h2d"",""7c7d"",""5i5h"",""8e8f"",""8g8f"",""8b8f"",""P*8g"",""8f8e"",""1f1e"",""8a7c"",""7g7f"",""P*8f"",""8g8f"",""8e8f""],""scoreCp"":28}]},{""label"":""initial-position:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""6i7h"",""pvUsi"":[""6i7h"",""8c8d"",""2g2f"",""8d8e"",""2f2e"",""4a3b"",""3i3h"",""7a7b"",""7g7f"",""8e8f"",""8g8f"",""8b8f"",""5i6h"",""1c1d"",""3g3f"",""7c7d"",""2e2d"",""2c2d"",""2h2d"",""8f8b"",""P*8g"",""P*2c"",""2d2f"",""7b7c"",""3f3e"",""5c5d"",""3h3g"",""3a4b""],""scoreCp"":27},{""move"":""2g2f"",""pvUsi"":[""2g2f"",""8c8d"",""2f2e"",""8d8e"",""6i7h"",""4a3b"",""3i3h"",""7a7b"",""7g7f"",""8e8f"",""8g8f"",""8b8f"",""5i6h"",""1c1d"",""3g3f"",""5a5b"",""2i3g"",""7c7d"",""2e2d"",""2c2d"",""2h2d"",""8f8d"",""2d2i"",""P*2c"",""9g9f"",""3c3d""],""scoreCp"":23}]}]"
quiet-no-mate,1n1g1ksn1/l1rsg2b1/p1pp1p+Bpl/1p2p4/8p/2P3P1P/PP1PPPSP1/3S4R/LNG1KG1NL b P 1,5000,2,2,256,3,3,5481.867,5498.3,5543.3,5003.333,2918728.3,583354.2,5076.7,20.33,"{""ok"":3}",0,0,"[{""label"":""quiet-no-mate:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""1f1e"",""2b9i+"",""1e1d"",""1c1d"",""1h1d"",""3a2b"",""2c3b"",""L*1c"",""1d5d"",""1c1i+"",""5d2d"",""L*2c"",""3b2c"",""2b2c"",""2d2c+"",""9i1a"",""L*5f""],""scoreCp"":1625},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*4d"",""B*6f"",""4d6f"",""6g6f"",""B*9d"",""1e1d"",""9d7f"",""B*8c"",""7b7a"",""1d1c+"",""P*1g"",""1h1g""],""scoreCp"":1584}]},{""label"":""quiet-no-mate:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*3c"",""B*6f"",""3c6f"",""6g6f"",""B*3c"",""1e1d"",""3c6f"",""B*7g"",""1c1d"",""1h1d"",""6f7g+"",""6h7g"",""P*1c"",""1d1h"",""7c7d"",""P*6g"",""7b7a"",""B*1b""],""scoreCp"":1600},{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""2c2b"",""3a2b"",""1f1e"",""B*3c"",""1e1d"",""3c9i+"",""1d1c+"",""2a1c"",""L*2d"",""L*1a"",""2d2b+"",""9i2b"",""S*8c"",""6b7a"",""1h1e"",""5a6b"",""B*2f""],""scoreCp"":1523}]},{""label"":""quiet-no-mate:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""3c2c"",""pvUsi"":[""3c2c"",""4a5a"",""1f1e"",""2b9i+"",""1e1d"",""1c1d"",""1h1d"",""L*1c"",""1d3d"",""P*3c"",""3d5d"",""1c1i+"",""5d1d"",""L*1c"",""1d2d"",""6b5c"",""P*1d"",""1i2i"",""2c5f"",""3a3b"",""2d2b+"",""3b4a"",""2b2a"",""1c1d"",""5f8c"",""5b4b"",""L*6f"",""7b5b""],""scoreCp"":1596},{""move"":""3c2b"",""pvUsi"":[""3c2b"",""3a2b"",""1f1e"",""B*6e"",""5i5h"",""6e7f"",""B*8c"",""5b5a"",""8c5f+"",""7f8g+"",""1e1d"",""1c1d"",""1h1d"",""P*1c"",""1d1h""],""scoreCp"":1590}]}]"
sente-middlegame,1nrg3n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL b BP 1,5000,2,2,256,3,3,5671.633,5614.4,6009.9,5001.667,2914058,582615.2,5070,19,"{""ok"":3}",0,0,"[{""label"":""sente-middlegame:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""1e1f"",""B*8b"",""2d3c"",""3e3d"",""3c2b"",""P*1b"",""7c7d"",""2i3g"",""1f1g+"",""3g4e""],""scoreCp"":2105},{""move"":""1f1e"",""pvUsi"":[""1f1e"",""9f8e"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""P*1b"",""7c7d"",""1b1a+"",""1c1d"",""3e3d"",""7d7e"",""1a2a"",""7e7f"",""7h6i"",""L*7c"",""P*7h"",""6a5b"",""3h3i""],""scoreCp"":1170}]},{""label"":""sente-middlegame:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""1e1f"",""B*8b"",""2d3c"",""5h5i"",""8d8e"",""8b7a+"",""6a7a"",""5g5f"",""B*4d"",""2i3g"",""1f1g+"",""5f5e"",""4d5e"",""1i1g"",""1c1g+""],""scoreCp"":2112},{""move"":""1f1e"",""pvUsi"":[""1f1e"",""9f8e"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""P*1b"",""7c7d"",""1b1a+"",""7d7e"",""1a2a"",""1c1d"",""7h6i"",""7e7f"",""3e3d"",""7f7g+"",""8i7g"",""7a7b""],""scoreCp"":1206}]},{""label"":""sente-middlegame:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""9g9f"",""pvUsi"":[""9g9f"",""7c7d"",""B*8b"",""2d3c"",""2i3g"",""7a7b"",""8b9a+"",""8a7c"",""9a8a"",""7d7e"",""3g4e"",""7e7f"",""8a7b"",""6a7b"",""4e3c+"",""3b3c""],""scoreCp"":2145},{""move"":""1f1e"",""pvUsi"":[""1f1e"",""9f8e"",""1e1d"",""1c1d"",""1i1d"",""P*1c"",""P*1b"",""7c7d"",""1b1a+"",""7d7e"",""3e3d"",""7e7f"",""7h6i"",""1c1d"",""1a2a"",""8e9d"",""P*7h"",""3b2a"",""L*2f"",""2a3b"",""2f2d"",""2c2d"",""B*8b"",""7a7b""],""scoreCp"":1204}]}]"
gote-middlegame,1nrgB2n1/l2s2k2/p1p1gp1pl/1p1pp2s1/6P1p/b1P5P/PP1PPP1P1/L1KSRSG2/1NG4NL w P 1,5000,2,2,256,3,3,5653.067,5717.8,5847.1,5001.333,2999748.3,599794.8,5063.3,20,"{""ok"":3}",0,0,"[{""label"":""gote-middlegame:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""1f1e"",""B*4i"",""4h5i"",""4i5h+"",""5i5h"",""8d8e"",""8g7h"",""1c1e"",""1i1e"",""R*1i"",""B*8b"",""7a6a"",""3h3i"",""1i1e+"",""B*8c"",""8e8f"",""8c9b+"",""8f8g+"",""7h8g"",""L*8d""],""scoreCp"":137},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""7d7e"",""7h6i"",""8e7f"",""1d1b+"",""7f8g+"",""6i5i"",""3b4b"",""P*8b"",""8a7c"",""P*7d"",""7c6e"",""1b2a"",""8g9h""],""scoreCp"":205}]},{""label"":""gote-middlegame:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""1f1e"",""B*4i"",""4h5i"",""4i5h+"",""5i5h"",""1c1e"",""1i1e"",""R*1i"",""3h3i"",""1i1e+"",""8b9a+"",""1e3e"",""L*3h"",""P*3g"",""2i3g"",""L*8e""],""scoreCp"":135},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""7d7e"",""1d1b+"",""6d6e"",""7h6i"",""6e6f"",""1b2a"",""7e7f"",""7i7h"",""3b2a"",""L*3d"",""P*3b""],""scoreCp"":153}]},{""label"":""gote-middlegame:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""9f8g+"",""pvUsi"":[""9f8g+"",""7h8g"",""6a5a"",""B*8b"",""7a6a"",""8b9a+"",""1e1f"",""9a9b"",""1f1g+"",""2i1g"",""P*1f"",""P*8b"",""1f1g+"",""5h5i"",""B*6e"",""9b8a"",""6a8a"",""8b8a+"",""N*9e"",""8g8h"",""B*8g"",""6h7g""],""scoreCp"":167},{""move"":""9f8e"",""pvUsi"":[""9f8e"",""5a2d+"",""2c2d"",""1f1e"",""7c7d"",""1e1d"",""1c1d"",""1i1d"",""6d6e"",""1d1b+"",""6e6f"",""1b2a"",""7d7e"",""7h6i"",""7e7f"",""7i7h"",""3b4a"",""3e3d"",""7f7g+"",""7h7g"",""6f6g+"",""2a3a"",""4a3a"",""6h6g""],""scoreCp"":198}]}]"
middlegame-60,1nr1g1kn1/l2sb4/p1p1gpppl/1p2p4/3p2P2/1PP2+B1sp/P1KPPP2P/L1G1RSG2/1N2S2NL b p 1,5000,2,2,256,3,3,5573.5,5529.2,5802.6,5001.333,2957690.3,591382.1,5060,20.67,"{""ok"":3}",0,0,"[{""label"":""middlegame-60:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""1f1e"",""1c1e"",""P*1f"",""4d3e"",""4f6d"",""5a4b"",""1f1e"",""6b5c"",""6d7e"",""8d8e"",""5g5f"",""7c7d"",""7e8e"",""8a7c"",""8e8d"",""5c6d"",""1e1d"",""P*1b"",""8d8c"",""7d7e"",""8c8b"",""7e7f"",""7g6h""],""scoreCp"":805},{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f3g+"",""4h3g"",""5a4b"",""5h2h"",""4b3b"",""1g1f"",""4c4d"",""5g5f"",""8d8e"",""1f1e"",""8e8f"",""1e1d"",""G*8g"",""7h8g"",""8f8g+"",""7g8g"",""1c1d"",""1i1d"",""P*1c"",""P*2b"",""3b2b""],""scoreCp"":791}]},{""label"":""middlegame-60:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g+"",""3e3d"",""3c3d"",""2i1g"",""1f1g+"",""5g5f"",""5a4b"",""5f5e"",""5d5e"",""5h5e"",""P*1h"",""P*1b"",""N*5d"",""4f3f"",""5b6c"",""1i1h"",""2a3c"",""1h1g"",""1c1g""],""scoreCp"":796},{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""3e3d"",""4d3d"",""3h3g"",""2f3e"",""4f6d"",""3a3b"",""1f1e"",""6b6c"",""6d6e"",""7c7d"",""6e6f"",""6c6d""],""scoreCp"":728}]},{""label"":""middlegame-60:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""3h3g"",""pvUsi"":[""3h3g"",""2f1g"",""3e3d"",""3c3d"",""2i1g"",""1f1g+"",""5g5f"",""P*1h"",""5f5e"",""5d5e"",""4f5e"",""5a4b"",""1i1h"",""1g1h"",""5e1a"",""5b6c"",""S*1b"",""3a3b"",""P*2b"",""2a3c"",""2b2a+"",""3b4a"",""1b2c+"",""L*5d"",""2c3c"",""5d5h+"",""5i5h""],""scoreCp"":746},{""move"":""1g1f"",""pvUsi"":[""1g1f"",""5c4d"",""4f6d"",""3a3b"",""1f1e"",""6b6c"",""6d2h"",""1c1e"",""4h3g"",""1e1i+"",""3g2f"",""1i2i"",""2h2i"",""7c7d"",""3h3g"",""7d7e"",""5h1h"",""N*6a""],""scoreCp"":673}]}]"
middlegame-80,1nsg3nk/l1r6/p1p1gppp1/1p1+B5/1b1pp1P1l/1PP1PP2p/P2P3GN/LKG1R1S1L/1NS1S4 b 2p 1,5000,2,2,256,3,3,5520.567,5512.7,5537.9,5004.333,2994420,598367,5073.3,19,"{""ok"":3}",0,0,"[{""label"":""middlegame-80:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""6d5c"",""pvUsi"":[""6d5c"",""8e7f"",""1g2e"",""6e6f"",""6g6f"",""8d8e"",""G*7g"",""7f5h+"",""5i5h"",""R*3i"",""5h4i"",""P*6h"",""5c4c"",""6h6i+"",""B*5d"",""7b2b"",""4c6a""],""scoreCp"":2221},{""move"":""6d7e"",""pvUsi"":[""6d7e"",""6a5b"",""8f8e"",""1f1g+"",""2g1g"",""7c7d"",""7e4h"",""1e1g+"",""1h1g"",""1a2b"",""5f5e"",""7d7e"",""B*4e"",""5c6c"",""P*2d"",""2c2d"",""1g1b+"",""2b3b"",""5i6h"",""8d8e"",""P*8g"",""8e8f"",""8g8f""],""scoreCp"":1865}]},{""label"":""middlegame-80:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""6d5c"",""pvUsi"":[""6d5c"",""8e7f"",""G*7g"",""7f9d"",""1g2e"",""6e6f"",""6g6f"",""8d8e"",""8f8e"",""9d8e"",""5c4c"",""8e5h+"",""5i5h"",""R*5i"",""5h6g"",""7b8b"",""P*8f"",""P*8e"",""4c6a"",""8e8f""],""scoreCp"":2233},{""move"":""6d7e"",""pvUsi"":[""6d7e"",""1f1g+"",""8f8e"",""6a5b"",""2g1g"",""1a2b"",""P*2d"",""2c2d"",""5f5e"",""7c7d"",""P*2c"",""2b3b"",""7e6e"",""1e1g+"",""5e5d"",""5c6c"",""1h1g"",""8a7c"",""6e4g"",""8d8e""],""scoreCp"":1893}]},{""label"":""middlegame-80:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""6d5c"",""pvUsi"":[""6d5c"",""8e7f"",""1g2e"",""6e6f"",""6g6f"",""1a2b"",""3e3d"",""3c3d"",""P*7g"",""6a5b"",""5c6d"",""7f9d"",""6d5e"",""2b3b"",""P*2b"",""3b4a"",""2b2a+"",""4a5a"",""N*6c""],""scoreCp"":2271},{""move"":""6d7e"",""pvUsi"":[""6d7e"",""1f1g+"",""8f8e"",""6a5b"",""2g1g"",""7c7d"",""7e4h"",""1e1g+"",""1h1g"",""1a2b"",""5f5e"",""8d8e"",""P*8g"",""P*5g"",""5h5g"",""8e8f"",""8g8f"",""P*8g"",""8h8g"",""G*6i"",""P*2d"",""2c2d"",""9g9f"",""7b8b"",""P*2c"",""2b3b"",""8g8h"",""8b8f"",""P*8g""],""scoreCp"":1868}]}]"
hand-piece-rich,1n2g4/l1s3k1r/p1+B1gp1pn/Bp7/1PPp5/5P2l/PG1P+pS2N/LK2R3L/1NS1S4 b 2Pg5p 1,5000,2,2,256,3,3,5520.533,5522.5,5531.7,5001.333,2821874,564229.5,5066.7,19.67,"{""ok"":3}",0,0,"[{""label"":""hand-piece-rich:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""G*4b"",""5h3h"",""P*3g"",""3h3g"",""P*3f"",""3g3f"",""P*3c"",""9d7b+"",""1f1g+"",""P*3d"",""3c3d"",""3f3d"",""P*3c"",""S*4a"",""3b2a"",""P*2b"",""1b2b"",""3d3c+"",""4b3c"",""5a3c""],""scoreCp"":2462},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*3c"",""P*5e"",""7c8e"",""P*3d"",""3c1e"",""S*3c"",""3b4a"",""5e5d"",""5c4d"",""7b6c"",""G*5b"",""6c5b"",""5a5b""],""scoreCp"":1561}]},{""label"":""hand-piece-rich:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""3b2a"",""5h5g"",""P*7h"",""7i7h"",""P*7g"",""8g7g"",""P*5f"",""P*2b"",""1b2b"",""5g5f"",""9c9d"",""5f5c+"",""B*2f""],""scoreCp"":2485},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""B*1a"",""P*3c"",""1a3c"",""8h7h"",""P*5f"",""5g5f"",""P*5e"",""P*3d"",""5e5f"",""3d3c+"",""3b3c"",""P*3d"",""3c3d"",""7b4e"",""3d3c"",""B*1e"",""G*2d"",""P*3d"",""3c3b"",""1e2d"",""3b4a"",""3d3c+"",""2c2d"",""4e1b""],""scoreCp"":1568}]},{""label"":""hand-piece-rich:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""7c5a"",""pvUsi"":[""7c5a"",""G*4b"",""5h3h"",""P*3c"",""9d7b+"",""1f1g+"",""1h1g"",""N*9e"",""S*4a"",""3b2a"",""P*2b"",""1b2b"",""1g1c+"",""9e8g+"",""8h8g"",""5g4g"",""1c2b"",""2a2b""],""scoreCp"":2285},{""move"":""9d7b+"",""pvUsi"":[""9d7b+"",""8a7c"",""5h5g"",""P*5f"",""5g5f"",""P*5e"",""7b7c"",""5e5f"",""7c5a"",""G*4b"",""P*1d"",""5c5b"",""1d1c+"",""B*4d"",""P*5e"",""5b5a"",""1c1b"",""4d5e"",""8i7g""],""scoreCp"":1556}]}]"
middlegame-120,1n2g4/+B1s1k3r/p+P2gp1pn/B8/2Pp2p2/1p2LP2l/PG1P+pS2N/LKR4PL/1NS1S1+p1g b 2P2p 1,5000,2,2,256,3,3,5552.733,5526.6,5625.5,5001,2785365.3,556960.2,5070,17.67,"{""ok"":3}",0,0,"[{""label"":""middlegame-120:mt5000-mpv2-t2-h256:warm1"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""5g4g"",""8c7b"",""P*7d"",""S*1e"",""1f1g+"",""1h1g"",""3c3d"",""G*4e"",""3d2e""],""scoreCp"":1987},{""move"":""5f5c"",""pvUsi"":[""5f5c"",""5b5c"",""8g8f"",""9c9d"",""8c7b"",""P*8e"",""8f7f"",""5g6g"",""9b6e"",""L*8f"",""7f8f"",""8e8f"",""G*5d"",""5c4b"",""5d4c"",""4b4a""],""scoreCp"":1576}]},{""label"":""middlegame-120:mt5000-mpv2-t2-h256:warm2"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""5g4g"",""8c7b"",""P*8g"",""8f8g"",""S*5f"",""8e6c+"",""P*7g"",""9b8a"",""3c3d"",""7h7g""],""scoreCp"":1983},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""8c7b"",""P*5d"",""9b7d"",""5b4b"",""P*1d"",""5g6g"",""1d1c+"",""6g7h"",""7i7h"",""1b1c"",""P*3d"",""R*5g""],""scoreCp"":1454}]},{""label"":""middlegame-120:mt5000-mpv2-t2-h256:warm3"",""candidates"":[{""move"":""9d8e"",""pvUsi"":[""9d8e"",""5b4b"",""5f5c+"",""4b3c"",""8g8f"",""8a7c"",""8c7b"",""P*8g"",""8f8g"",""7c8e"",""9b6e"",""B*4d"",""6g6f"",""4d5c"",""G*1e"",""5c4d""],""scoreCp"":1990},{""move"":""8g8f"",""pvUsi"":[""8g8f"",""9c9d"",""8c7b"",""5g6g"",""9b7d"",""5b4b"",""5f5c+"",""4b5c"",""7h7f"",""6g6f"",""S*3c"",""4c4d"",""G*3d"",""P*8g"",""8f8g"",""1b7b"",""3d4d"",""5c6b""],""scoreCp"":1444}]}]"
middlegame-150,1+Bp6/4+Bgr1p/1P2L1kpn/p4p2n/2Pp2p2/1pG2P3/P2P1S2+l/LKRS+p2PL/1NS1S1+p1g b GN2p 1,5000,2,2,256,1,0,5421.6,5421.6,5421.6,,,,,,{},0,0,[]
